entity,thing,type1
John Kerry Biography," Yale University, Boston College Law School, St. Paul's School, Fessenden School, St. Albans School, Jonathan Edwards College",education
William Henry Harrison Biography," February 9, 1773",Birthday
William Henry Harrison Biography, American,Nationality
William Henry Harrison Biography," 
Political Leaders 

American Men 
",Famous
William Henry Harrison Biography, Aquarius,Sun Sign
William Henry Harrison Biography, 68,Died At Age
William Henry Harrison Biography, Charles City County,Born in
William Henry Harrison Biography, Whig,political ideology
William Henry Harrison Biography, Anna Harrison (m. 1795–1841),Spouse/Ex-
William Henry Harrison Biography, Benjamin Harrison V,father
William Henry Harrison Biography, Elizabeth,mother
William Henry Harrison Biography, Carter Bassett Harrison,siblings
William Henry Harrison Biography, John Scott Harrison,children
William Henry Harrison Biography, Episcopal,religion
William Henry Harrison Biography," April 4, 1841",Died on
William Henry Harrison Biography," Washington, D.C.",place of death
William Henry Harrison Biography," University of Pennsylvania, Hampden-Sydney College",education
William Henry Harrison Biography, 1812 - Gold medal,awards
Henry Kissinger Biography," May 27, 1923",Birthday
Henry Kissinger Biography, American,Nationality
Henry Kissinger Biography," 
Quotes By Henry Kissinger 

Illuminati Members 
",Famous
Henry Kissinger Biography, Gemini,Sun Sign
Henry Kissinger Biography," 95 Years, 95 Year Old Males",Age
Henry Kissinger Biography, Henry Alfred Kissinger,Also Known As
Henry Kissinger Biography, Germany,Born in
Henry Kissinger Biography," Diplomat, National Security Advisor (America)",Famous as
Henry Kissinger Biography, 1.75 m,Height
Henry Kissinger Biography, Republican,political ideology
Henry Kissinger Biography," Nancy Kissinger (m. 1974), Ann Fleischer (m. 1949–1964)",Spouse/Ex-
Henry Kissinger Biography, Louis Kissinger,father
Henry Kissinger Biography, Paula (Stern) Kissinger,mother
Henry Kissinger Biography, Walter Kissinger,siblings
Henry Kissinger Biography," David Kissinger, Elizabeth Kissinger",children
Henry Kissinger Biography, Judaism,religion
Henry Kissinger Biography, ENTP,Personality
Henry Kissinger Biography," $20 million as of June 27, 2017",Net worth
Henry Kissinger Biography, Harvard University,education
Henry Kissinger Biography, Nobel Peace Prize  Francis Boyer Award  National Book Award for History,awards
Oliver Cromwell Biography," April 25, 1599",Birthday
Oliver Cromwell Biography, British,Nationality
Oliver Cromwell Biography," 
Quotes By Oliver Cromwell 

Military Leaders 
",Famous
Oliver Cromwell Biography, Taurus,Sun Sign
Oliver Cromwell Biography, 59,Died At Age
Oliver Cromwell Biography," Huntingdon, Huntingdonshire",Born in
Oliver Cromwell Biography, Military & Political Leader,Famous as
Oliver Cromwell Biography, Elizabeth Bourchier,Spouse/Ex-
Oliver Cromwell Biography, Robert Cromwell,father
Oliver Cromwell Biography, Elizabeth Steward,mother
Oliver Cromwell Biography, Robina Cromwell,siblings
Oliver Cromwell Biography," Bridget Cromwell, Countess Fauconberg, Elizabeth Claypole, Frances Cromwell, Henry Cromwell, Mary Cromwell, Oliver Cromwell, Richard Cromwell, Robert Cromwell",children
Oliver Cromwell Biography, Puritan (Independent),religion
Oliver Cromwell Biography," September 3, 1658",Died on
Oliver Cromwell Biography," Whitehall, London, England",place of death
Oliver Cromwell Biography," Huntingdon Grammar School, Sidney Sussex College, Cambridge",education
Herbert Hoover Biography," The Hermit Author of Palo Alto, The Grand Old Man, Friend of Helpless Children, The Man of Great Heart, The Chief, Bert, The Great Engineer, The Great Humanitarian",Nick Name
Herbert Hoover Biography," August 10, 1874",Birthday
Herbert Hoover Biography, American,Nationality
Herbert Hoover Biography," 
Quotes By Herbert Hoover 

Left Handed 
",Famous
Herbert Hoover Biography, Leo,Sun Sign
Herbert Hoover Biography, 90,Died At Age
Herbert Hoover Biography, Herbert Clark Hoover,Also Known As
Herbert Hoover Biography, West Branch,Born in
Herbert Hoover Biography, 31st U.S. President,Famous as
Herbert Hoover Biography, 1.82 m,Height
Herbert Hoover Biography, Political party - Republican,political ideology
Herbert Hoover Biography, Lou Henry Hoover,Spouse/Ex-
Herbert Hoover Biography, Jesse Hoover,father
Herbert Hoover Biography, Hulda Hoover,mother
Herbert Hoover Biography, Theodore J. Hoover,siblings
Herbert Hoover Biography," Allan Hoover, Herbert Hoover Jr.",children
Herbert Hoover Biography, Quakers,religion
Herbert Hoover Biography," October 20, 1964",Died on
Herbert Hoover Biography, New York City,place of death
Herbert Hoover Biography, Iowa,"City, States, Provinces & Districts"
Herbert Hoover Biography," Hoover Institution, Stanford Graduate School of Business, Federal Home Loan Banks, Reconstruction Finance Corporation, Consolidated Zinc, Federal Bureau of Prisons, Council on Foreign Relations, UNICEF, Commission for Relief in Belgium",Founder/Co-Founder
Herbert Hoover Biography," 1895 - Stanford University, George Fox University",education
Herbert Hoover Biography," Fishing, Hiking, and Reading",Hobbies
Herbert Hoover Biography, 1920 - Public Welfare Medal  1930 - Hoover Medal  1929 - John Fritz Medal,awards
Sarah Huckabee Sanders Biography," August 13, 1982",Birthday
Sarah Huckabee Sanders Biography, American,Nationality
Sarah Huckabee Sanders Biography," 
Political Leaders 

American Women 
",Famous
Sarah Huckabee Sanders Biography, Leo,Sun Sign
Sarah Huckabee Sanders Biography," 36 Years, 36 Year Old Females",Age
Sarah Huckabee Sanders Biography," Hope, Arkansas, United States",Born in
Sarah Huckabee Sanders Biography, US Political Representative,Famous as
Sarah Huckabee Sanders Biography, Mike Huckabee,father
Sarah Huckabee Sanders Biography, Janet Huckabee,mother
Sarah Huckabee Sanders Biography," David Huckabee, John Mark Huckabee",siblings
Sarah Huckabee Sanders Biography, Arkansas,"City, States, Provinces & Districts"
Sarah Huckabee Sanders Biography, Ouachita Baptist University,education
Andrew Cuomo Biography," December 6, 1957",Birthday
Andrew Cuomo Biography, American,Nationality
Andrew Cuomo Biography," 
Political Leaders 

American Men 
",Famous
Andrew Cuomo Biography, Sagittarius,Sun Sign
Andrew Cuomo Biography," 61 Years, 61 Year Old Males",Age
Andrew Cuomo Biography, Andrew Mark Cuomo,Also Known As
Andrew Cuomo Biography," New York City, New York",Born in
Andrew Cuomo Biography, Governor of New York,Famous as
Andrew Cuomo Biography, 1.80 m,Height
Andrew Cuomo Biography, Kerry Kennedy (m. 1990–2005),Spouse/Ex-
Andrew Cuomo Biography, Mario Cuomo,father
Andrew Cuomo Biography, Raffa Matilda,mother
Andrew Cuomo Biography, Sandra Lee (2005–),Partner
Andrew Cuomo Biography, Albany Law School,Notable Alumni
Andrew Cuomo Biography, New Yorkers,"City, States, Provinces & Districts"
Andrew Cuomo Biography," Albany Law School (1982), Fordham University (1979), Archbishop Molloy High School (1975)",education
Joseph Goebbels Biography," October 29, 1897",Birthday
Joseph Goebbels Biography, German,Nationality
Joseph Goebbels Biography," 
Quotes By Joseph Goebbels 

Presidents 
",Famous
Joseph Goebbels Biography, Scorpio,Sun Sign
Joseph Goebbels Biography, 47,Died At Age
Joseph Goebbels Biography, Joseph Goebbels,Also Known As
Joseph Goebbels Biography, Rheydt,Born in
Joseph Goebbels Biography, German Nazi politician,Famous as
Joseph Goebbels Biography, National Socialist German Workers' Party (NSDAP),political ideology
Joseph Goebbels Biography, Magda Ritschel,Spouse/Ex-
Joseph Goebbels Biography, Fritz,father
Joseph Goebbels Biography, Katharina Maria,mother
Joseph Goebbels Biography," Elisabeth, Hans, Konrad, Maria",siblings
Joseph Goebbels Biography," Harald, Hedwig Johanna, Heidrun Elisabeth, Helga Susanne, Helmut Christian, Hildegard Traudel, Holdine Kathrin",children
Joseph Goebbels Biography, Roman Catholic,religion
Joseph Goebbels Biography," May 1, 1945",Died on
Joseph Goebbels Biography, Berlin,place of death
Joseph Goebbels Biography, Nazis,Ideology
Joseph Goebbels Biography, Polio,Diseases & Disabilities
Joseph Goebbels Biography, Suicide,Cause of Death
Joseph Goebbels Biography," University of Bonn, University of Würzburg, University of Freiburg, University of Heidelberg",education
Leon Trotsky Biography, Lev Davidovich Bronshtein,Nick Name
Leon Trotsky Biography," November 7, 1879",Birthday
Leon Trotsky Biography," Russian, Ukrainian",Nationality
Leon Trotsky Biography," 
Writers 

Philosophers 
",Famous
Leon Trotsky Biography, Scorpio,Sun Sign
Leon Trotsky Biography, 60,Died At Age
Leon Trotsky Biography, Lev Davidovich Bronshtein,Also Known As
Leon Trotsky Biography, Ukraine,Born Country
Leon Trotsky Biography, Kherson Oblast,Born in
Leon Trotsky Biography, Founder and first leader of the Red Army,Famous as
Leon Trotsky Biography, 1.74 m,Height
Leon Trotsky Biography," RSDLP, SDPS, Communist Party of the Soviet Union, Left Opposition, IV International",political ideology
Leon Trotsky Biography," Aleksandra Sokolovskaya (m. 1899–1902), Natalia Sedova (m. 1903–1940)",Spouse/Ex-
Leon Trotsky Biography, David Bronshtein,father
Leon Trotsky Biography, Anna,mother
Leon Trotsky Biography," Alexander, Liza, Olga",siblings
Leon Trotsky Biography," Lev Sedov, Nina Nevelson, Sergei Sedov, Zinaida Volkova",children
Leon Trotsky Biography, atheist,religion
Leon Trotsky Biography," August 21, 1940",Died on
Leon Trotsky Biography, Coyoacán,place of death
Leon Trotsky Biography, Communists,Ideology
Leon Trotsky Biography, Execution,Cause of Death
Leon Trotsky Biography, Odessa University,education
Fidel Castro Biography," August 13, 1926",Birthday
Fidel Castro Biography, Cuban,Nationality
Fidel Castro Biography," 
Quotes By Fidel Castro 

Humanitarian 
",Famous
Fidel Castro Biography, Leo,Sun Sign
Fidel Castro Biography, 90,Died At Age
Fidel Castro Biography," Birán, Cuba",Born in
Fidel Castro Biography, Cuban Revolutionary Leader,Famous as
Fidel Castro Biography, Communist Party of Cuba,political ideology
Fidel Castro Biography," Dalia Soto del Valle (m. 1980), Mirta Diaz-Balart (m. 1948–1955)",Spouse/Ex-
Fidel Castro Biography, Ángel Castro y Argiz,father
Fidel Castro Biography, Ángela María Castro Ruz,mother
Fidel Castro Biography," Agustina Castro, Angelita Castro, Enma Castro, Juanita Castro, Ramón Castro, Raúl Castro",siblings
Fidel Castro Biography," Alex Castro-Soto, Alexis Castro-Soto, Alina Fernández, Angel Castro-Soto, Antonio Castro-Soto, Fidel Ángel Castro Díaz-Balart Alejandro Castro-Soto, Francisca Pupo, Jorge Angel Castro",children
Fidel Castro Biography," November 26, 2016",Died on
Fidel Castro Biography, Communists,Ideology
Fidel Castro Biography," University of Havana, Belen Jesuit Preparatory School",education
Fidel Castro Biography, 1963 - Hero of the Soviet Union 1963 - Order of Lenin 1972 - Order of Lenin,awards
Woodrow Wilson Biography," Schoolmaster in Politics, The Phrasemaker, The Professor, Coiner of Weasel Words",Nick Name
Woodrow Wilson Biography," December 28, 1856",Birthday
Woodrow Wilson Biography, American,Nationality
Woodrow Wilson Biography," 
Quotes By Woodrow Wilson 

Nobel Peace Prize 
",Famous
Woodrow Wilson Biography, Capricorn,Sun Sign
Woodrow Wilson Biography, 67,Died At Age
Woodrow Wilson Biography, Thomas Woodrow Wilson,Also Known As
Woodrow Wilson Biography, Staunton city,Born in
Woodrow Wilson Biography, Father of the League of Nations,Famous as
Woodrow Wilson Biography, 1.80 m,Height
Woodrow Wilson Biography, Political party - Democratic,political ideology
Woodrow Wilson Biography," Edith Wilson, Ellen Axson Wilson",Spouse/Ex-
Woodrow Wilson Biography, Joseph Ruggles Wilson,father
Woodrow Wilson Biography, Jessie Janet Woodrow,mother
Woodrow Wilson Biography," Anne E. Wilson Howe, Joseph Ruggles Wilson, Jr.",siblings
Woodrow Wilson Biography," Eleanor Wilson McAdoo, Jessie Woodrow Wilson Sayre, Margaret Woodrow Wilson",children
Woodrow Wilson Biography, Presbyterianism,religion
Woodrow Wilson Biography," February 3, 1924",Died on
Woodrow Wilson Biography," Washington, D.C.",place of death
Woodrow Wilson Biography, ISTJ,Personality
Woodrow Wilson Biography, Democrats,Ideology
Woodrow Wilson Biography," Federal Reserve System, Chatham House, League of Nations, U.S. National Park Service, War Industries Board, Committee on Public Information, Council of National Defense, Federal Trade Commission, National War Labor Board, National Advisory Committee for A",Founder/Co-Founder
Woodrow Wilson Biography," 1886 - Johns Hopkins University, University of Virginia School of Law, 1879 - Princeton University, 1874 - Davidson College",education
Woodrow Wilson Biography," Golf, Riding, Swimming, Walking",Hobbies
Dianne Feinstein Biography," June 22, 1933",Birthday
Dianne Feinstein Biography, American,Nationality
Dianne Feinstein Biography," 
Political Leaders 

American Women 
",Famous
Dianne Feinstein Biography, Cancer,Sun Sign
Dianne Feinstein Biography," 85 Years, 85 Year Old Females",Age
Dianne Feinstein Biography, Dianne Goldman Berman Feinstein,Also Known As
Dianne Feinstein Biography," San Francisco, California",Born in
Dianne Feinstein Biography, Politician,Famous as
Dianne Feinstein Biography, 1.78 m,Height
Dianne Feinstein Biography," Richard C. Blum (m. 1980), Bertram Feinstein (m. 1962–1978), Jack Berman (m. 1956–1959)",Spouse/Ex-
Dianne Feinstein Biography, Leon Goldman,father
Dianne Feinstein Biography, Betty,mother
Dianne Feinstein Biography, Katherine Feinstein Mariano,children
Dianne Feinstein Biography," California, San Francisco","City, States, Provinces & Districts"
Paul Ryan Biography," January 29, 1970",Birthday
Paul Ryan Biography, American,Nationality
Paul Ryan Biography," 
Political Leaders 

American Men 
",Famous
Paul Ryan Biography, Aquarius,Sun Sign
Paul Ryan Biography," 48 Years, 48 Year Old Males",Age
Paul Ryan Biography, Paul Davis Ryan Jr.,Also Known As
Paul Ryan Biography," Janesville, Wisconsin",Born in
Paul Ryan Biography, Speaker of the United States House of Representatives,Famous as
Paul Ryan Biography, 1.85 m,Height
Paul Ryan Biography, Janna Little (m. 2000),Spouse/Ex-
Paul Ryan Biography, Paul Murray Ryan,father
Paul Ryan Biography, Elizabeth H. Ryan,mother
Paul Ryan Biography," Charles Ryan, Elizabeth Ryan, Samuel Ryan",children
Paul Ryan Biography, Wisconsin,"City, States, Provinces & Districts"
Paul Ryan Biography," Miami University (1989–1992), American University, Joseph A. Craig High School",education
Atal Bihari Vajpayee Biography," December 25, 1924",Birthday
Atal Bihari Vajpayee Biography, Indian,Nationality
Atal Bihari Vajpayee Biography," 
Quotes By Atal Bihari Vajpayee 

Prime Ministers 
",Famous
Atal Bihari Vajpayee Biography, Capricorn,Sun Sign
Atal Bihari Vajpayee Biography, 93,Died At Age
Atal Bihari Vajpayee Biography, Gwalior,Born in
Atal Bihari Vajpayee Biography, Former Prime Minister of India,Famous as
Atal Bihari Vajpayee Biography, 1.68 m,Height
Atal Bihari Vajpayee Biography, Bharatiya Janata Party (1980–present),political ideology
Atal Bihari Vajpayee Biography, Krishna Bihari Vajpayee,father
Atal Bihari Vajpayee Biography, Krishna Devi,mother
Atal Bihari Vajpayee Biography, Prem,siblings
Atal Bihari Vajpayee Biography, Hinduism,religion
Atal Bihari Vajpayee Biography," August 16, 2018",Died on
Atal Bihari Vajpayee Biography, New Delhi,place of death
Atal Bihari Vajpayee Biography, Jana Sangh,Founder/Co-Founder
Atal Bihari Vajpayee Biography," $2 million as of Jan 15, 2017",Net worth
Atal Bihari Vajpayee Biography," DAV College, Kanpur",education
Atal Bihari Vajpayee Biography, 1992 - Padma Vibhushan 1994 - Lokmanya Tilak Award 1994 - Best Parliamentarian Award,awards
Ulysses S. Grant Biography," Sam, Hero of Appomattox,",Nick Name
Ulysses S. Grant Biography," April 27, 1822",Birthday
Ulysses S. Grant Biography, American,Nationality
Ulysses S. Grant Biography," 
Quotes By Ulysses S. Grant 

Presidents 
",Famous
Ulysses S. Grant Biography, Taurus,Sun Sign
Ulysses S. Grant Biography, 63,Died At Age
Ulysses S. Grant Biography, Hiram Ulysses Grant,Also Known As
Ulysses S. Grant Biography, Point Pleasant,Born in
Ulysses S. Grant Biography, President of the U.S.A,Famous as
Ulysses S. Grant Biography, 1.73 m,Height
Ulysses S. Grant Biography, Political party - Republican,political ideology
Ulysses S. Grant Biography, Julia Grant,Spouse/Ex-
Ulysses S. Grant Biography, Jesse Root Grant,father
Ulysses S. Grant Biography, Hannah Grant,mother
Ulysses S. Grant Biography," Ellen Wrenshall Grant, Frederick Dent Grant, Jesse Root Grant, Ulysses S. Grant Jr.",children
Ulysses S. Grant Biography, Methodism,religion
Ulysses S. Grant Biography," July 23, 1885",Died on
Ulysses S. Grant Biography, Wilton,place of death
Ulysses S. Grant Biography, ISFP,Personality
Ulysses S. Grant Biography, Republicans,Ideology
Ulysses S. Grant Biography, United States Military Academy,education
Ulysses S. Grant Biography, Distinguished Service Medal  Legion of Merit  Legion of Honour  Croix de Guerre,awards
Mitt Romney Biography," March 12, 1947",Birthday
Mitt Romney Biography, American,Nationality
Mitt Romney Biography," 
Political Leaders 

American Men 
",Famous
Mitt Romney Biography, Pisces,Sun Sign
Mitt Romney Biography," 71 Years, 71 Year Old Males",Age
Mitt Romney Biography, Willard Mitt Romney,Also Known As
Mitt Romney Biography," Detroit, Michigan",Born in
Mitt Romney Biography, Former Governor of Massachusetts,Famous as
Mitt Romney Biography, 1.88 m,Height
Mitt Romney Biography, Ann Romney (m. 1969),Spouse/Ex-
Mitt Romney Biography, George Romney,father
Mitt Romney Biography, Lenore Romney,mother
Mitt Romney Biography," Ben Romney, Craig Romney, Josh Romney, Matt Romney, Tagg Romney",children
Mitt Romney Biography, Michigan,"City, States, Provinces & Districts"
Mitt Romney Biography," Stanford University, Brigham Young University, Harvard University",education
Dan Quayle Biography," February 4, 1947",Birthday
Dan Quayle Biography, American,Nationality
Dan Quayle Biography," 
Quotes By Dan Quayle 

Political Leaders 
",Famous
Dan Quayle Biography, Aquarius,Sun Sign
Dan Quayle Biography," 71 Years, 71 Year Old Males",Age
Dan Quayle Biography, James Danforth Quayle,Also Known As
Dan Quayle Biography, Indianapolis,Born in
Dan Quayle Biography, Former Vice President of the United States,Famous as
Dan Quayle Biography, 1.82 m,Height
Dan Quayle Biography, Republican,political ideology
Dan Quayle Biography, Marilyn Quayle,Spouse/Ex-
Dan Quayle Biography, James Cline Quayle,father
Dan Quayle Biography, Martha Corinne,mother
Dan Quayle Biography," Ben Quayle, Corinne Quayle, Tucker Quayle",children
Dan Quayle Biography, Christian,religion
Dan Quayle Biography, DePauw University,Notable Alumni
Dan Quayle Biography, Indiana,"City, States, Provinces & Districts"
Dan Quayle Biography, Republicans,Ideology
Dan Quayle Biography," $3 Million as of Dec 1, 2016",Net worth
Dan Quayle Biography," DePauw University, Indiana University School of Law - Indianapolis",education
Imran Khan Biography," October 5, 1952",Birthday
Imran Khan Biography, Pakistani,Nationality
Imran Khan Biography," 
Quotes By Imran Khan 

Cricketers 
",Famous
Imran Khan Biography, Libra,Sun Sign
Imran Khan Biography," 66 Years, 66 Year Old Males",Age
Imran Khan Biography, Imran Khan Niazi,Also Known As
Imran Khan Biography," Lahore, West Punjab, Dominion of Pakistan",Born in
Imran Khan Biography, 22nd PM of Pakistan,Famous as
Imran Khan Biography, 1.85 m,Height
Imran Khan Biography, Pakistan Tehreek-e-Insaf,political ideology
Imran Khan Biography," Bushra Maneka (m. 2018), Jemima Khan (m. 1995–2004), Reham Khan (m. 2015–2015)",Spouse/Ex-
Imran Khan Biography, Ikramullah Khan Niazi,father
Imran Khan Biography, Shaukat Khanum,mother
Imran Khan Biography," Aleema Khanum, Rani Khanum, Rubina Khanum, Uzma Khanum",siblings
Imran Khan Biography," Qasim Khan, Sulaiman Khan",children
Imran Khan Biography, Islam,religion
Imran Khan Biography, $50 million as of Jan 2017,Net worth
Imran Khan Biography," Cathedral School, Lahore, Royal Grammar School Worcester, England, Aitchison College, Lahore, Keble College, Oxford,",education
Imran Khan Biography, 1976 - The Cricket Society Wetherall Award for being the leading all-rounder in English first-class cricket 1983 - Wisden Cricketer of the Year 1983 - Pride of Performance Award,awards
Al Gore Biography," March 31, 1948",Birthday
Al Gore Biography, American,Nationality
Al Gore Biography," 
Political Leaders 

American Men 
",Famous
Al Gore Biography, Aries,Sun Sign
Al Gore Biography," 70 Years, 70 Year Old Males",Age
Al Gore Biography, Albert Arnold Gore Jr,Also Known As
Al Gore Biography," Washington, D.C.",Born in
Al Gore Biography, Politician,Famous as
Al Gore Biography, 1.85 m,Height
Al Gore Biography, Mary Elizabeth Aitcheson Gore (m. 1970; div. 2010)),Spouse/Ex-
Al Gore Biography, Albert Gore,father
Al Gore Biography, Pauline LaFon Gore,mother
Al Gore Biography, Nancy Gore Hunger,siblings
Al Gore Biography," Karenna Gore Schiff, Kristin Gore",children
Al Gore Biography," Baptists, Southern Baptist Convention",religion
Al Gore Biography, Washington,"City, States, Provinces & Districts"
Al Gore Biography, Vanderbilt University,Notable Alumni
Al Gore Biography," Generation Investment Management, Current TV, Chicago Climate Exchange, Alliance for Climate Protection, The Climate Project",Founder/Co-Founder
Al Gore Biography," Harvard University, Vanderbilt University",education
Al Gore Biography, Nobel Peace Prize Primetime Emmy Award Webby Lifetime Achievement Award,awards
Mao Zedong Biography," December 26, 1893",Birthday
Mao Zedong Biography, Chinese,Nationality
Mao Zedong Biography," 
Quotes By Mao Zedong 

Atheists 
",Famous
Mao Zedong Biography, Capricorn,Sun Sign
Mao Zedong Biography, 82,Died At Age
Mao Zedong Biography, Shaoshan,Born in
Mao Zedong Biography, Communist Leader of China,Famous as
Mao Zedong Biography, Communist Party of China,political ideology
Mao Zedong Biography," 1889 – 1910), Luo Yixiu (October 20), He Zizhen (1910–1984), Jiang Qing (1914–1991), Yang Kaihui (1901–1930)",Spouse/Ex-
Mao Zedong Biography, Mao Yichang,father
Mao Zedong Biography," Wén Qīmèi (Xiangxiang),",mother
Mao Zedong Biography," Mao Zejian (1905–1929), Mao Zemin (1895–1943), Mao Zetan (1905–1935)",siblings
Mao Zedong Biography," Li Min, Li Na, Mao Anhong Mao Anlong, Mao Anqing, Mao Anying",children
Mao Zedong Biography," September 9, 1976",Died on
Mao Zedong Biography, Beijing,place of death
Mao Zedong Biography, Parkinson's Disease,Diseases & Disabilities
Mao Zedong Biography, People's Republic of China,Founder/Co-Founder
Mao Zedong Biography, Shaoshan Primary School,education
Vladimir Lenin Biography," April 22, 1870",Birthday
Vladimir Lenin Biography, Russian,Nationality
Vladimir Lenin Biography," 
Quotes By Vladimir Lenin 

Philosophers 
",Famous
Vladimir Lenin Biography, Taurus,Sun Sign
Vladimir Lenin Biography, 53,Died At Age
Vladimir Lenin Biography, Ulyanovsk,Born in
Vladimir Lenin Biography, Russian Revolutionary & Head of Communist Party,Famous as
Vladimir Lenin Biography," Russian Social Democratic Labour Party, Russian Communist Party (bolsheviks)",political ideology
Vladimir Lenin Biography, Nadezhda Krupskaya (m. 1898–1924),Spouse/Ex-
Vladimir Lenin Biography, Ilya Ulyanov,father
Vladimir Lenin Biography, Maria Alexandrovna Blank,mother
Vladimir Lenin Biography," Aleksandr Ulyanov, Anna Ilichina Ulianov, Dimitri Ilich Ulianov, Mariya Ilichina Ulianov, Nikolai Ilich Ulianov, Olga Ilichina Ulianov",siblings
Vladimir Lenin Biography," January 21, 1924",Died on
Vladimir Lenin Biography, Gorki Leninskiye,place of death
Vladimir Lenin Biography, Communists,Ideology
Vladimir Lenin Biography," Saint Petersburg State University, (1890 – 1891), Kazan Federal University, (1887 – 1888)",education
Vladimir Lenin Biography, 1885 - Gold medal,awards
David Duke Biography," July 1, 1950",Birthday
David Duke Biography, American,Nationality
David Duke Biography," 
Political Leaders 

American Men 
",Famous
David Duke Biography, Cancer,Sun Sign
David Duke Biography," 68 Years, 68 Year Old Males",Age
David Duke Biography, David Ernest Duke,Also Known As
David Duke Biography, Tulsa,Born in
David Duke Biography," White Nationalist, Far-Right Politician",Famous as
David Duke Biography, Chloe Hardin (m. 1974–1984),Spouse/Ex-
David Duke Biography, David H. Duke,father
David Duke Biography, Alice Maxine Crick,mother
David Duke Biography," Erika Duke, Kristin Duke",children
David Duke Biography, Christanity,religion
David Duke Biography," Louisiana State University, Interregional Academy of Personnel Management",education
Jeff Sessions Biography," December 24, 1946",Birthday
Jeff Sessions Biography, American,Nationality
Jeff Sessions Biography," 
Lawyers 

Political Leaders 
",Famous
Jeff Sessions Biography, Capricorn,Sun Sign
Jeff Sessions Biography," 72 Years, 72 Year Old Males",Age
Jeff Sessions Biography, Jefferson Beauregard Sessions III,Also Known As
Jeff Sessions Biography," Selma, Alabama",Born in
Jeff Sessions Biography, Attorney General of the United States,Famous as
Jeff Sessions Biography, 1.63 m,Height
Jeff Sessions Biography, Republican Party,political ideology
Jeff Sessions Biography, Mary Blackshear Sessions (m. 1969),Spouse/Ex-
Jeff Sessions Biography," Jefferson Beauregard Sessions, Jr.",father
Jeff Sessions Biography, Abbie Powe,mother
Jeff Sessions Biography," Mary Abigail Sessions, Ruth Sessions Walk, Sam Sessions",children
Jeff Sessions Biography, Alabama,"City, States, Provinces & Districts"
Jeff Sessions Biography," Huntingdon College (BA), University of Alabama (JD)",education
John Adams Biography," His Rotundity, Old Sink or Swim, The Colossus of Independence, Atlas of Independence, The Duke of Braintree, Bonny Johnny",Nick Name
John Adams Biography," October 30, 1735",Birthday
John Adams Biography, American,Nationality
John Adams Biography," 
Quotes By John Adams 

Presidents 
",Famous
John Adams Biography, Scorpio,Sun Sign
John Adams Biography, 90,Died At Age
John Adams Biography, Braintree,Born in
John Adams Biography, 2nd U.S. President,Famous as
John Adams Biography, Political party - Federalist,political ideology
John Adams Biography, Abigail Adams,Spouse/Ex-
John Adams Biography, John Adams Sr.,father
John Adams Biography, Susanna Boylston,mother
John Adams Biography," Elihu Adams, Peter Adams",siblings
John Adams Biography," Abigail Adams Smith, Charles Adams, Elizabeth Adams, John Quincy Adams, Susanna Adams, Thomas Boylston Adams",children
John Adams Biography," Unitarianism, Deism, Congregational church",religion
John Adams Biography," July 4, 1826",Died on
John Adams Biography, Quincy,place of death
John Adams Biography, Depression,Diseases & Disabilities
John Adams Biography, INTJ,Personality
John Adams Biography, Massachusetts,"City, States, Provinces & Districts"
John Adams Biography, Library of Congress,Founder/Co-Founder
John Adams Biography," 1755 - Harvard College, 1758 - Harvard College",education
John Adams Biography, Political Philosophy,Hobbies
Rick Scott Biography," December 1, 1952",Birthday
Rick Scott Biography, American,Nationality
Rick Scott Biography," 
Political Leaders 

American Men 
",Famous
Rick Scott Biography, Sagittarius,Sun Sign
Rick Scott Biography," 66 Years, 66 Year Old Males",Age
Rick Scott Biography, Richard Lynn 'Rick' Scott,Also Known As
Rick Scott Biography," Bloomington, Illinois, United States",Born in
Rick Scott Biography, 45th Governor of Florida,Famous as
Rick Scott Biography, Republican,political ideology
Rick Scott Biography, Frances Annette Holland (m. 1972),Spouse/Ex-
Rick Scott Biography, Illinois,"City, States, Provinces & Districts"
Rick Scott Biography, Republicans,Ideology
Rick Scott Biography," $220 Million as of Jan 15, 2017",Net worth
Saddam Hussein Biography," April 28, 1937",Birthday
Saddam Hussein Biography, Iraqi,Nationality
Saddam Hussein Biography," 
Quotes By Saddam Hussein 

Dictators 
",Famous
Saddam Hussein Biography, Taurus,Sun Sign
Saddam Hussein Biography, 69,Died At Age
Saddam Hussein Biography, Al-Awja,Born in
Saddam Hussein Biography, Dictator & President of Iraq,Famous as
Saddam Hussein Biography," Arab Socialist Ba'ath Party (1957–1966), Baghdad-based Ba'ath Party (1966–2006) (NPF)",political ideology
Saddam Hussein Biography," Nidal al-Hamdani (m. 1990–2006), Sajida Talfah (m. 1963–2006), Samira Shahbandar (m. 1986–2006)",Spouse/Ex-
Saddam Hussein Biography, Subha Tulfah al-Mussallat,mother
Saddam Hussein Biography," Awad Hamed al-Bandar, Barzan Ibrahim",siblings
Saddam Hussein Biography," Hala Hussein, Qusay Hussein, Raghad Hussein, Rana Hussein, Uday Hussein",children
Saddam Hussein Biography, Sunni Islam,religion
Saddam Hussein Biography," December 30, 2006",Died on
Saddam Hussein Biography, Kadhimiya,place of death
Saddam Hussein Biography, ESTJ,Personality
Saddam Hussein Biography, Execution,Cause of Death
Saddam Hussein Biography, nationalistic high school in Baghdad,education
